Date,Open,High,Low,Close,Adj Close,Volume
2019-11-13,17.799999,17.900000,17.700001,17.799999,15.347602,6910118
2019-11-14,17.850000,18.000000,17.799999,17.900000,15.433825,5878861
2019-11-15,17.950001,18.200001,17.900000,17.900000,15.433825,7404731
2019-11-18,17.900000,18.000000,17.900000,18.000000,15.520047,4751113
2019-11-19,17.900000,18.100000,17.900000,18.100000,15.606270,5048256
2019-11-20,18.100000,18.100000,17.900000,18.049999,15.563159,6105171
2019-11-21,17.900000,17.950001,17.799999,17.900000,15.433825,6233106
2019-11-22,17.950001,18.049999,17.799999,18.000000,15.520047,5530738
2019-11-25,18.000000,18.049999,17.850000,18.000000,15.520047,6181325
2019-11-26,18.000000,18.299999,17.950001,18.299999,15.778713,17782023
2019-11-27,18.400000,18.500000,18.200001,18.250000,15.735604,8710677
2019-11-28,18.299999,18.350000,18.150000,18.200001,15.692494,5074434
2019-11-29,18.250000,18.299999,17.950001,17.950001,15.476937,5983742
2019-12-02,18.049999,18.049999,17.700001,17.700001,15.261379,8170144
2019-12-03,17.700001,17.950001,17.700001,17.850000,15.390715,5427080
2019-12-04,17.850000,17.950001,17.750000,17.950001,15.476937,5055766
2019-12-05,17.950001,18.049999,17.850000,17.850000,15.390715,4277416
2019-12-06,17.950001,18.000000,17.750000,17.750000,15.304492,3636083
2019-12-09,17.799999,18.049999,17.750000,17.900000,15.433825,8757595
2019-12-10,17.900000,17.900000,17.750000,17.799999,15.347602,5931904
2019-12-11,18.000000,18.150000,17.950001,18.049999,15.563159,9421954
2019-12-12,18.200001,18.200001,17.900000,17.900000,15.433825,10656171
2019-12-13,18.000000,18.049999,17.799999,17.850000,15.390715,8486457
2019-12-16,17.900000,18.049999,17.900000,18.000000,15.520047,43686
2019-12-17,18.000000,18.150000,17.950001,18.150000,15.649381,6884475
2019-12-18,18.150000,18.650000,18.000000,18.500000,15.951160,20493916
2019-12-19,18.400000,18.549999,18.150000,18.350000,15.821827,9106131
2019-12-20,18.400000,18.450001,18.200001,18.350000,15.821827,12302515
2019-12-23,18.350000,18.450001,18.200001,18.350000,15.821827,5049371
2019-12-24,18.350000,18.400000,18.150000,18.200001,15.692494,4565780
2019-12-25,18.200001,18.299999,18.049999,18.100000,15.606270,4647712
2019-12-26,18.150000,18.200001,17.950001,17.950001,15.476937,7249257
2019-12-27,18.049999,18.049999,17.850000,17.950001,15.476937,7693255
2019-12-30,18.000000,18.000000,17.850000,18.000000,15.520047,5876524
2019-12-31,17.950001,18.049999,17.850000,17.850000,15.390715,6259552
2020-01-02,17.900000,17.950001,17.799999,17.799999,15.347602,5383237
2020-01-03,17.900000,18.000000,17.750000,17.900000,15.433825,7256023
2020-01-06,17.799999,17.850000,17.600000,17.650000,15.218269,7615770
2020-01-07,17.650000,17.799999,17.549999,17.549999,15.132047,5708642
2020-01-08,17.500000,17.549999,17.400000,17.450001,15.045825,7981411
2020-01-09,17.600000,17.650000,17.500000,17.600000,15.175159,3502361
2020-01-10,17.700001,17.799999,17.650000,17.700001,15.261379,3902773
2020-01-13,17.650000,17.799999,17.600000,17.799999,15.347602,8086763
2020-01-14,17.799999,17.850000,17.700001,17.850000,15.390715,5837827
2020-01-15,17.799999,18.000000,17.750000,18.000000,15.520047,7150778
2020-01-16,18.000000,18.100000,17.950001,18.100000,15.606270,6959544
2020-01-17,18.200001,18.400000,18.049999,18.250000,15.735604,17845042
2020-01-20,18.250000,18.299999,18.049999,18.049999,15.563159,5707816
2020-01-30,17.400000,17.450001,16.549999,16.650000,14.356044,23383651
2020-01-31,16.850000,17.200001,16.700001,16.900000,14.571600,13100698
2020-02-03,16.500000,16.549999,16.100000,16.549999,14.269821,13382952
2020-02-04,17.900000,18.000000,16.750000,16.750000,14.442266,7562725
2020-02-05,16.799999,16.799999,16.549999,16.600000,14.312934,7128167
2020-02-06,16.799999,17.000000,16.700001,16.950001,14.614713,8970347
2020-02-07,16.850000,17.150000,16.700001,16.850000,14.528489,7475074
2020-02-10,16.549999,16.750000,16.500000,16.600000,14.312934,6501102
2020-02-11,16.650000,16.799999,16.600000,16.600000,14.312934,5022873
2020-02-12,16.700001,17.000000,16.700001,17.000000,14.657824,6805099
2020-02-13,17.000000,17.100000,16.850000,16.900000,14.571600,5723835
2020-02-14,16.900000,17.000000,16.850000,16.850000,14.528489,2727865
2020-02-17,16.799999,16.850000,16.750000,16.799999,14.485378,3572481
2020-02-18,16.750000,16.900000,16.600000,16.650000,14.356044,5315324
2020-02-19,16.750000,17.400000,16.750000,17.250000,14.873380,12623328
2020-02-20,17.400000,17.450001,17.000000,17.100000,14.744047,6668000
2020-02-21,17.200001,17.350000,17.049999,17.200001,14.830269,6663082
2020-02-24,17.000000,17.150000,16.850000,16.950001,14.614713,7057060
2020-02-25,16.750000,17.049999,16.750000,16.850000,14.528489,4770783
2020-02-26,16.700001,16.850000,16.600000,16.750000,14.442266,9160489
2020-02-27,16.700001,16.750000,16.350000,16.350000,14.097378,12464555
2020-03-02,15.950000,16.500000,15.800000,16.150000,13.924932,10873664
2020-03-03,16.600000,16.600000,16.200001,16.200001,13.968044,6956741
2020-03-04,16.200001,16.400000,16.200001,16.350000,14.097378,5236510
2020-03-05,16.500000,16.600000,16.400000,16.500000,14.226710,4987226
2020-03-06,16.350000,16.400000,16.150000,16.200001,13.968044,7218698
2020-03-09,15.950000,16.000000,15.500000,15.550000,13.407597,16003417
2020-03-10,15.200000,15.750000,15.200000,15.650000,13.493818,12214540
2020-03-11,15.650000,15.750000,15.150000,15.200000,13.105818,8310344
2020-03-12,15.000000,15.000000,14.100000,14.350000,12.372928,21270904
2020-03-13,13.200000,14.150000,12.950000,13.800000,11.898704,33563014
2020-03-16,13.900000,14.100000,13.250000,13.500000,11.640036,17253703
2020-03-17,13.050000,13.800000,13.000000,13.450000,11.596925,21863096
2020-03-18,13.500000,13.650000,13.400000,13.500000,11.640036,16568603
2020-03-19,13.300000,13.650000,12.800000,13.250000,11.424479,28735626
